Make,Total Fatal Injuries,Total Serious Injuries,Total Minor Injuries,Total Uninjured,Total Passengers,Total Survivors,Count,Favorable Result,Unfavorable Result,Percent Favorable,Percent Unfavorable
Dassault,4.0,0.0,2.0,5.0,11.0,7.0,3,0,1,0.0,33.33333333333333
Remos,0.0,0.0,0.0,7.0,7.0,7.0,3,0,0,0.0,0.0
Meyers Industries Inc,0.0,0.0,0.0,3.0,3.0,3.0,3,0,0,0.0,0.0
Thompson,1.0,0.0,1.0,2.0,4.0,3.0,3,0,0,0.0,0.0
Airborne,1.0,1.0,1.0,0.0,3.0,2.0,3,0,0,0.0,0.0
Piper Aircraft,3.0,0.0,0.0,1.0,4.0,1.0,3,0,1,0.0,33.33333333333333
Sonex Aircraft,4.0,0.0,1.0,0.0,5.0,1.0,3,0,2,0.0,66.66666666666666
Dassault Aviation,1.0,1.0,2.0,0.0,4.0,3.0,3,0,1,0.0,33.33333333333333
Pacific Aerospace Corp Ltd,0.0,0.0,0.0,17.0,17.0,17.0,3,1,0,33.33333333333333,0.0
Howard Aircraft,1.0,0.0,0.0,2.0,3.0,2.0,3,0,1,0.0,33.33333333333333
Found Acft Canada Inc,0.0,3.0,0.0,6.0,9.0,9.0,3,0,0,0.0,0.0
Golden Circle Air,1.0,1.0,0.0,1.0,3.0,2.0,3,0,1,0.0,33.33333333333333
S.O.C.A.T.A.,0.0,1.0,0.0,4.0,5.0,5.0,3,0,0,0.0,0.0
Jihlavan,0.0,1.0,0.0,4.0,5.0,5.0,3,0,0,0.0,0.0
Textron Aviation,10.0,1.0,0.0,4.0,15.0,5.0,3,0,1,0.0,33.33333333333333
Interstate,0.0,0.0,1.0,2.0,3.0,3.0,3,0,0,0.0,0.0
Weber,0.0,3.0,0.0,1.0,4.0,4.0,3,0,0,0.0,0.0
Construcciones Aeronauticas Sa,0.0,2.0,0.0,3.0,5.0,5.0,3,0,0,0.0,0.0
Siai Marchetti,0.0,4.0,0.0,3.0,7.0,7.0,3,0,0,0.0,0.0
Stolp Starduster,1.0,1.0,0.0,1.0,3.0,2.0,3,0,0,0.0,0.0
Iniziative Industriali Italian,1.0,0.0,1.0,2.0,4.0,3.0,3,0,0,0.0,0.0
Aerostar Acft Corp Of Texas,0.0,1.0,6.0,0.0,7.0,7.0,3,0,0,0.0,0.0
Skykits Corp,0.0,0.0,0.0,3.0,3.0,3.0,3,0,0,0.0,0.0
Aeropro Cz S R O,1.0,0.0,0.0,3.0,4.0,3.0,3,0,1,0.0,33.33333333333333
Extra Flugzeugbau,1.0,0.0,0.0,3.0,4.0,3.0,3,0,1,0.0,33.33333333333333
Maxair,2.0,2.0,1.0,0.0,5.0,3.0,3,0,0,0.0,0.0
Taylorcraft Aviation Corp.,0.0,0.0,1.0,3.0,4.0,4.0,3,0,0,0.0,0.0
Culver,2.0,1.0,0.0,0.0,3.0,1.0,3,0,1,0.0,33.33333333333333
Xtremeair Gmbh,0.0,0.0,0.0,3.0,3.0,3.0,3,0,0,0.0,0.0
Rainbow Sky Reach (Pty) Ltd,0.0,1.0,0.0,4.0,5.0,5.0,3,0,0,0.0,0.0
Wheeler,3.0,0.0,0.0,2.0,5.0,2.0,3,0,1,0.0,33.33333333333333
Murphy Aircraft,0.0,0.0,1.0,3.0,4.0,4.0,3,0,0,0.0,0.0
Hawker Aircraft Ltd,2.0,0.0,1.0,0.0,3.0,1.0,3,0,2,0.0,66.66666666666666
Antonov,0.0,0.0,2.0,8.0,10.0,10.0,3,0,0,0.0,0.0
Canadair,0.0,2.0,1.0,18.0,21.0,21.0,3,0,0,0.0,0.0
Cook,0.0,2.0,1.0,2.0,5.0,5.0,3,0,0,0.0,0.0
Mason,0.0,0.0,0.0,4.0,4.0,4.0,3,0,0,0.0,0.0
Icon Aircraft Inc,3.0,0.0,0.0,2.0,5.0,2.0,3,0,0,0.0,0.0
Fantasy Air,1.0,0.0,0.0,3.0,4.0,3.0,3,0,1,0.0,33.33333333333333
Aerostar S A,5.0,0.0,0.0,0.0,5.0,0.0,3,0,1,0.0,33.33333333333333
Phillips,1.0,0.0,2.0,0.0,3.0,2.0,3,0,1,0.0,33.33333333333333
American Champion (Acac),1.0,0.0,0.0,4.0,5.0,4.0,3,0,0,0.0,0.0
American General Acft Corp,0.0,3.0,1.0,2.0,6.0,6.0,3,0,0,0.0,0.0
Christen Industries,0.0,1.0,0.0,3.0,4.0,4.0,3,0,0,0.0,0.0
Commander,1.0,1.0,0.0,4.0,6.0,5.0,3,0,1,0.0,33.33333333333333
Bearhawk,4.0,1.0,0.0,0.0,5.0,1.0,3,0,0,0.0,0.0
Cassutt,1.0,1.0,1.0,0.0,3.0,2.0,3,0,0,0.0,0.0
Waco Classic Aircraft Corp,0.0,3.0,1.0,2.0,6.0,6.0,3,0,0,0.0,0.0
Czech Sport,0.0,1.0,3.0,1.0,5.0,5.0,3,0,0,0.0,0.0
Quad City Ultralight Aircraft,1.0,1.0,0.0,2.0,4.0,3.0,3,0,0,0.0,0.0
Pitts Aerobatics,0.0,2.0,2.0,0.0,4.0,4.0,3,0,0,0.0,0.0
Phantom Aeronautics,0.0,1.0,1.0,1.0,3.0,3.0,3,0,0,0.0,0.0
Hawker Beechcraft Corp.,1.0,0.0,0.0,3.0,4.0,3.0,3,0,0,0.0,0.0
Brandt,0.0,0.0,1.0,1.0,2.0,2.0,2,0,0,0.0,0.0
Capella,0.0,1.0,0.0,2.0,3.0,3.0,2,0,0,0.0,0.0
Murphy,0.0,0.0,0.0,4.0,4.0,4.0,2,0,0,0.0,0.0
Long,2.0,1.0,0.0,0.0,3.0,1.0,2,0,1,0.0,50.0
Dornier Gmbh,0.0,0.0,0.0,3.0,3.0,3.0,2,0,0,0.0,0.0
Harris Pierce,0.0,0.0,0.0,4.0,4.0,4.0,2,0,0,0.0,0.0
Davis Michael J,1.0,0.0,0.0,1.0,2.0,1.0,2,0,1,0.0,50.0
Honda Aircraft Co Llc,0.0,0.0,0.0,4.0,4.0,4.0,2,0,0,0.0,0.0
Campbell Earl S Jr,1.0,0.0,0.0,2.0,3.0,2.0,2,0,1,0.0,50.0
Hagerty,0.0,0.0,2.0,1.0,3.0,3.0,2,0,0,0.0,0.0
Diamond Aircraft,1.0,0.0,0.0,4.0,5.0,4.0,2,0,0,0.0,0.0
Iai,0.0,0.0,0.0,5.0,5.0,5.0,2,0,0,0.0,0.0
Nord,0.0,1.0,0.0,1.0,2.0,2.0,2,0,0,0.0,0.0
Hoffman,2.0,0.0,0.0,0.0,2.0,0.0,2,0,0,0.0,0.0
Grosch,0.0,0.0,0.0,2.0,2.0,2.0,2,0,0,0.0,0.0
Grob-Werke,0.0,0.0,0.0,2.0,2.0,2.0,2,0,0,0.0,0.0
Perth Amboy,0.0,0.0,0.0,3.0,3.0,3.0,2,0,0,0.0,0.0
Canadair Ltd,1.0,0.0,2.0,2.0,5.0,4.0,2,0,1,0.0,50.0
Calvin Nate H,0.0,0.0,2.0,1.0,3.0,3.0,2,0,0,0.0,0.0
