Make,Total Fatal Injuries,Total Serious Injuries,Total Minor Injuries,Total Uninjured,Total Passengers,Total Survivors,Count,Favorable Result,Unfavorable Result,Percent Favorable,Percent Unfavorable
Moravan,0.0,0.0,1.0,0.0,1.0,1.0,1,0,0,0.0,0.0
Morehead,0.0,1.0,1.0,0.0,2.0,2.0,1,0,0,0.0,0.0
Morgan James E,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Moriarty Marvin,1.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0
Mulholland Robert A,0.0,0.0,0.0,2.0,2.0,2.0,1,0,0,0.0,0.0
Mulloy Charles,0.0,0.0,1.0,0.0,1.0,1.0,1,0,0,0.0,0.0
Munson,2.0,0.0,0.0,0.0,2.0,0.0,1,0,0,0.0,0.0
Munson Roger J,1.0,0.0,0.0,0.0,1.0,0.0,1,0,1,0.0,100.0
Murray,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Murray Blair L,1.0,0.0,0.0,0.0,1.0,0.0,1,0,1,0.0,100.0
Murray Frank H,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Murray Richard F,0.0,0.0,2.0,0.0,2.0,2.0,1,0,0,0.0,0.0
Musick,1.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0
Myers,0.0,0.0,0.0,2.0,2.0,2.0,1,0,0,0.0,0.0
Myers Donald E,0.0,1.0,0.0,0.0,1.0,1.0,1,0,0,0.0,0.0
Myron Oleson,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
N126C Llc,0.0,0.0,0.0,2.0,2.0,2.0,1,0,0,0.0,0.0
Nadig Paul K,2.0,0.0,0.0,0.0,2.0,0.0,1,0,0,0.0,0.0
Nagel,1.0,0.0,0.0,0.0,1.0,0.0,1,0,1,0.0,100.0
Nakajima,0.0,0.0,0.0,2.0,2.0,2.0,1,0,0,0.0,0.0
Nalis,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Mulec Frank A,0.0,1.0,0.0,0.0,1.0,1.0,1,0,0,0.0,0.0
Muffett,0.0,0.0,1.0,0.0,1.0,1.0,1,0,0,0.0,0.0
Mudge Ray,0.0,0.0,0.0,2.0,2.0,2.0,1,0,0,0.0,0.0
"Morse, Frank L.",0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Mormile Francis W,0.0,1.0,0.0,0.0,1.0,1.0,1,0,0,0.0,0.0
Morris George,2.0,0.0,0.0,0.0,2.0,0.0,1,0,0,0.0,0.0
Morris Thomas Lee,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Morrison Joseph,0.0,0.0,0.0,2.0,2.0,2.0,1,0,0,0.0,0.0
Morrison Marvin E Jr,2.0,0.0,0.0,0.0,2.0,0.0,1,0,0,0.0,0.0
Morrison Rocky V,0.0,0.0,0.0,3.0,3.0,3.0,1,0,0,0.0,0.0
Morse Frank L,1.0,0.0,1.0,0.0,2.0,1.0,1,0,0,0.0,0.0
Moser Georg,2.0,0.0,0.0,0.0,2.0,0.0,1,0,0,0.0,0.0
Moynihan Richard D,1.0,0.0,0.0,0.0,1.0,0.0,1,0,1,0.0,100.0
Moses Tim C,1.0,0.0,1.0,0.0,2.0,1.0,1,0,0,0.0,0.0
Mossman Michael D,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Motley Gary W,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Moulton Howard Wells,0.0,2.0,0.0,0.0,2.0,2.0,1,0,0,0.0,0.0
Moyes,1.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0
Moyes B/Bailey B,1.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0
Moynahan,0.0,0.0,1.0,0.0,1.0,1.0,1,0,0,0.0,0.0
Reeves,0.0,0.0,0.0,2.0,2.0,2.0,1,0,0,0.0,0.0
Ryan John Steffey,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Rehn,1.0,0.0,1.0,0.0,2.0,1.0,1,0,0,0.0,0.0
Viguie G/Viguie M,0.0,0.0,1.0,0.0,1.0,1.0,1,0,0,0.0,0.0
Tompkins,0.0,1.0,0.0,0.0,1.0,1.0,1,0,0,0.0,0.0
Tony Dubeansky,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Toomey,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Traxler John N,0.0,0.0,0.0,2.0,2.0,2.0,1,0,0,0.0,0.0
Trella,1.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0
Triad International Technology,0.0,0.0,0.0,2.0,2.0,2.0,1,0,0,0.0,0.0
Tromsness Enterprises Inc,1.0,0.0,0.0,0.0,1.0,0.0,1,0,1,0.0,100.0
Troyer,0.0,0.0,1.0,0.0,1.0,1.0,1,0,0,0.0,0.0
Trudel,0.0,0.0,0.0,2.0,2.0,2.0,1,0,0,0.0,0.0
True Flight Holdings Llc,0.0,0.0,0.0,2.0,2.0,2.0,1,0,0,0.0,0.0
Trusty,1.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0
Tubbs S/Performance,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Tuberville,0.0,1.0,1.0,0.0,2.0,2.0,1,0,0,0.0,0.0
Tucker-Hurni,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Tumbling Goose Llc,0.0,0.0,1.0,0.0,1.0,1.0,1,0,0,0.0,0.0
Turbine Cubs Of Wyoming Llc,0.0,1.0,0.0,0.0,1.0,1.0,1,0,0,0.0,0.0
Turck G L/Duflo J T,1.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0
Tomei,1.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0
Tomblingson-Leathers,0.0,0.0,1.0,0.0,1.0,1.0,1,0,0,0.0,0.0
Toman Jack Jr,1.0,0.0,1.0,0.0,2.0,1.0,1,0,0,0.0,0.0
Tidd Wesley,0.0,0.0,1.0,0.0,1.0,1.0,1,0,0,0.0,0.0
Thompson William A,0.0,0.0,1.0,0.0,1.0,1.0,1,0,0,0.0,0.0
Thomsen,0.0,0.0,0.0,2.0,2.0,2.0,1,0,0,0.0,0.0
Thornton,2.0,0.0,0.0,0.0,2.0,0.0,1,0,1,0.0,100.0
Throckmorton Matthew E,0.0,1.0,1.0,0.0,2.0,2.0,1,0,0,0.0,0.0
Thrush Aircraft Llc,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0
"Thrush Aircraft, Inc.",0.0,1.0,0.0,0.0,1.0,1.0,1,0,0,0.0,0.0
Thunder Mustang,1.0,0.0,0.0,0.0,1.0,0.0,1,0,1,0.0,100.0
Tifft,1.0,0.0,1.0,0.0,2.0,1.0,1,0,0,0.0,0.0
Tolbert Robert R,0.0,0.0,0.0,2.0,2.0,2.0,1,0,0,0.0,0.0
Tiger Aircraft Llc,0.0,0.0,0.0,2.0,2.0,2.0,1,0,0,0.0,0.0
Timothy C Williams,2.0,0.0,0.0,0.0,2.0,0.0,1,0,0,0.0,0.0
Timothy J Cowper,1.0,0.0,0.0,0.0,1.0,0.0,1,0,1,0.0,100.0
Titan Aerospace Holdings Inc,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0
Tl Ultralight,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Todd Foley,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Toerner Bob,0.0,0.0,0.0,2.0,2.0,2.0,1,0,0,0.0,0.0
Turcotte Jr Robert L,0.0,1.0,1.0,0.0,2.0,2.0,1,0,0,0.0,0.0
Turpen,0.0,0.0,1.0,0.0,1.0,1.0,1,0,0,0.0,0.0
Tuth,0.0,1.0,0.0,0.0,1.0,1.0,1,0,0,0.0,0.0
Vaughan Gerald R,0.0,0.0,0.0,2.0,2.0,2.0,1,0,0,0.0,0.0
Van Heeswyk,1.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0
Van Hoomissen Gerald J,0.0,2.0,0.0,0.0,2.0,2.0,1,0,0,0.0,0.0
Van Lehn Richard Glenn,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
"Van'S Aircraft, Inc.",0.0,1.0,0.0,0.0,1.0,1.0,1,0,0,0.0,0.0
Vandenburg,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Vanderark,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Varner David L,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Veatch,2.0,0.0,0.0,0.0,2.0,0.0,1,0,0,0.0,0.0
Van B Anthony,0.0,1.0,0.0,0.0,1.0,1.0,1,0,0,0.0,0.0
Veldhuizen,0.0,0.0,0.0,2.0,2.0,2.0,1,0,0,0.0,0.0
Velline'S,0.0,0.0,1.0,0.0,1.0,1.0,1,0,0,0.0,0.0
Velocity Inc,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Venables Zenith,0.0,1.0,0.0,0.0,1.0,1.0,1,0,0,0.0,0.0
Venus,0.0,1.0,0.0,0.0,1.0,1.0,1,0,0,0.0,0.0
Vertical Unlimited Llc,1.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0
Vicari,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Van Dusen John M,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Valloric Carl Stephen,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Tuttle Bruce C,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Underland/Grothe/Finstrom,0.0,0.0,0.0,2.0,2.0,2.0,1,0,0,0.0,0.0
Twenty Second Street Llc,0.0,1.0,0.0,1.0,2.0,2.0,1,0,0,0.0,0.0
Tyler Ives,1.0,0.0,0.0,0.0,1.0,0.0,1,0,1,0.0,100.0
U-Fly-It,0.0,0.0,1.0,0.0,1.0,1.0,1,0,0,0.0,0.0
"Uetz, Walter",0.0,2.0,0.0,0.0,2.0,2.0,1,0,0,0.0,0.0
Ulrich Christen,3.0,0.0,1.0,0.0,4.0,1.0,1,0,1,0.0,100.0
Ultra Flight Llc,0.0,0.0,2.0,0.0,2.0,2.0,1,0,0,0.0,0.0
Ultralite Sro,0.0,1.0,0.0,0.0,1.0,1.0,1,0,0,0.0,0.0
Univair,0.0,0.0,0.0,2.0,2.0,2.0,1,0,0,0.0,0.0
Valldejuli John A,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Unregistered,0.0,0.0,1.0,0.0,1.0,1.0,1,0,0,0.0,0.0
Upton,2.0,0.0,0.0,0.0,2.0,0.0,1,0,0,0.0,0.0
Urban Air Sro,2.0,0.0,0.0,0.0,2.0,0.0,1,0,0,0.0,0.0
Urbanczyk Miroslaw,0.0,0.0,0.0,2.0,2.0,2.0,1,0,0,0.0,0.0
Us Light Aircraft Corp,2.0,0.0,0.0,0.0,2.0,0.0,1,0,0,0.0,0.0
Uskoski,0.0,1.0,0.0,0.0,1.0,1.0,1,0,0,0.0,0.0
Valentin,2.0,0.0,0.0,0.0,2.0,0.0,1,0,0,0.0,0.0
Thompson Tommy W,0.0,0.0,1.0,0.0,1.0,1.0,1,0,0,0.0,0.0
Thompson Howard,0.0,2.0,0.0,0.0,2.0,2.0,1,0,0,0.0,0.0
Thompson David,0.0,0.0,1.0,0.0,1.0,1.0,1,0,0,0.0,0.0
Tackabury,1.0,0.0,1.0,0.0,2.0,1.0,1,0,0,0.0,0.0
"Swift Museum Foundation, Inc.",2.0,0.0,0.0,0.0,2.0,0.0,1,0,0,0.0,0.0
Symphony Aircraft Ind Inc,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
T Bird,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
T Bird Golden Circle Air Inc,0.0,0.0,1.0,0.0,1.0,1.0,1,0,0,0.0,0.0
T&T Aviation Inc,0.0,0.0,0.0,2.0,2.0,2.0,1,0,0,0.0,0.0
T51 Inc.,0.0,0.0,0.0,2.0,2.0,2.0,1,0,0,0.0,0.0
Tacchi Torello F,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
"Taft, Malcolm J Sr",0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Swezey T/Molnar D,0.0,0.0,2.0,0.0,2.0,2.0,1,0,0,0.0,0.0
Tail Feather Llc,0.0,0.0,1.0,0.0,1.0,1.0,1,0,0,0.0,0.0
"Tallent, Chris M.",0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Tandem,2.0,0.0,0.0,0.0,2.0,0.0,1,0,1,0.0,100.0
Tappen Chris,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Tarantola,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Tarantola Leonard,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Tatelman-Pitts,0.0,0.0,0.0,2.0,2.0,2.0,1,0,0,0.0,0.0
Swiezy,0.0,0.0,0.0,2.0,2.0,2.0,1,0,0,0.0,0.0
Swensen,0.0,1.0,0.0,0.0,1.0,1.0,1,0,0,0.0,0.0
Taylorcraft Aviation,0.0,1.0,0.0,0.0,1.0,1.0,1,0,0,0.0,0.0
Sutphin John E,0.0,1.0,0.0,0.0,1.0,1.0,1,0,0,0.0,0.0
Stutesman Charles Lee,1.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0
Suminski Walter M,0.0,0.0,0.0,2.0,2.0,2.0,1,0,0,0.0,0.0
Sungkwon Kim,0.0,0.0,1.0,0.0,1.0,1.0,1,0,0,0.0,0.0
Super 18 Llc,0.0,0.0,0.0,2.0,2.0,2.0,1,0,0,0.0,0.0
Superior,1.0,0.0,0.0,0.0,1.0,0.0,1,0,1,0.0,100.0
Supinski Mark R,0.0,1.0,0.0,0.0,1.0,1.0,1,0,0,0.0,0.0
Sutphin,0.0,0.0,0.0,2.0,2.0,2.0,1,0,0,0.0,0.0
Sutton,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Sweet Wayne A,0.0,2.0,0.0,0.0,2.0,2.0,1,0,0,0.0,0.0
Sutton William J,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Swalley Mark H,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Swann Lynn J,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Swartz Gene,0.0,0.0,0.0,2.0,2.0,2.0,1,0,0,0.0,0.0
Swearingen T R/Masters W,1.0,0.0,0.0,0.0,1.0,0.0,1,0,1,0.0,100.0
Swedener,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Sweeney Timothy J,0.0,1.0,0.0,0.0,1.0,1.0,1,0,0,0.0,0.0
Taylor,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Taylorcraft Corp,0.0,0.0,0.0,2.0,2.0,2.0,1,0,0,0.0,0.0
Thompson Bruce D,1.0,0.0,0.0,0.0,1.0,0.0,1,0,1,0.0,100.0
Thomas J Hankamp,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Thomas C Sikes,1.0,0.0,0.0,0.0,1.0,0.0,1,0,1,0.0,100.0
Thomas C. Piper,0.0,1.0,0.0,0.0,1.0,1.0,1,0,0,0.0,0.0
Thomas Craig E,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Thomas D. Parkes,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Thomas David W,0.0,1.0,0.0,1.0,2.0,2.0,1,0,0,0.0,0.0
Thomas E Hudzinski,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Thomas G Parkhurst,0.0,2.0,0.0,0.0,2.0,2.0,1,0,0,0.0,0.0
Thomas J Murray,0.0,2.0,0.0,0.0,2.0,2.0,1,0,0,0.0,0.0
Thomas A Siminski,0.0,0.0,1.0,0.0,1.0,1.0,1,0,0,0.0,0.0
Thomas J. Dorsey,0.0,0.0,0.0,2.0,2.0,2.0,1,0,0,0.0,0.0
Thomas Lee,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Thomas R Wade,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Thomas Scott,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Thomas Stephen,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Thomas Wayne L,0.0,0.0,1.0,0.0,1.0,1.0,1,0,0,0.0,0.0
Thomas Wild,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Thomas B Mcgrath,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Thomas,1.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0
Taylorcraft Corporation,0.0,0.0,1.0,0.0,1.0,1.0,1,0,0,0.0,0.0
Teratorn,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Teal Harry H,0.0,1.0,0.0,0.0,1.0,1.0,1,0,0,0.0,0.0
Team,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Team Inc,0.0,1.0,0.0,0.0,1.0,1.0,1,0,0,0.0,0.0
Team Rocket,0.0,0.0,0.0,2.0,2.0,2.0,1,0,0,0.0,0.0
Team Rocket F-1,0.0,0.0,0.0,2.0,2.0,2.0,1,0,0,0.0,0.0
Ted Smith,1.0,0.0,1.0,0.0,2.0,1.0,1,0,0,0.0,0.0
Temple Benjamin,0.0,0.0,1.0,0.0,1.0,1.0,1,0,0,0.0,0.0
Terrell Caragol,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Thibault Michael L,0.0,1.0,0.0,0.0,1.0,1.0,1,0,0,0.0,0.0
Terry F King,0.0,1.0,0.0,0.0,1.0,1.0,1,0,0,0.0,0.0
Terry G. Olson,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Terry W. Thayer,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Tetrault Ronad,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Teunis,0.0,0.0,2.0,0.0,2.0,2.0,1,0,0,0.0,0.0
Tew William P,0.0,0.0,0.0,2.0,2.0,2.0,1,0,0,0.0,0.0
Texas Air Ventures Inc,1.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0
Victor M Cordero,0.0,1.0,1.0,0.0,2.0,2.0,1,0,0,0.0,0.0
Viking (Clarke),0.0,0.0,1.0,0.0,1.0,1.0,1,0,0,0.0,0.0
Stump Bradley,2.0,0.0,0.0,0.0,2.0,0.0,1,0,0,0.0,0.0
Vining John K,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Winston W Walker,0.0,0.0,1.0,0.0,1.0,1.0,1,0,0,0.0,0.0
Wittman,1.0,0.0,0.0,0.0,1.0,0.0,1,0,1,0.0,100.0
Wittman D R/Wittman D M,0.0,0.0,1.0,0.0,1.0,1.0,1,0,0,0.0,0.0
Wogenstahl Wallace L,0.0,0.0,0.0,2.0,2.0,2.0,1,0,0,0.0,0.0
Wohnoutka Steven M,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Wolfe,2.0,0.0,0.0,0.0,2.0,0.0,1,0,1,0.0,100.0
Wonder Michael S,0.0,0.0,0.0,2.0,2.0,2.0,1,0,0,0.0,0.0
Wood,1.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0
Woodrow Larry W,0.0,0.0,0.0,2.0,2.0,2.0,1,0,0,0.0,0.0
Woods,0.0,0.0,1.0,0.0,1.0,1.0,1,0,0,0.0,0.0
Woods Rufus Iii,1.0,0.0,0.0,0.0,1.0,0.0,1,0,1,0.0,100.0
Woodward Harold L,2.0,0.0,0.0,0.0,2.0,0.0,1,0,1,0.0,100.0
Woolston Glenn E,0.0,1.0,0.0,0.0,1.0,1.0,1,0,0,0.0,0.0
Wooters,3.0,0.0,0.0,0.0,3.0,0.0,1,0,0,0.0,0.0
"Wootton, John",1.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0
Worgull,0.0,0.0,1.0,0.0,1.0,1.0,1,0,0,0.0,0.0
World Aircraft Co,0.0,0.0,0.0,2.0,2.0,2.0,1,0,0,0.0,0.0
Winship Kent S,0.0,1.0,0.0,0.0,1.0,1.0,1,0,0,0.0,0.0
"Wingtip To Wingtip, Llc",0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Wingtip To Wingtip Llc,0.0,0.0,0.0,12.0,12.0,12.0,1,1,0,100.0,0.0
Willoughby Pete A,0.0,0.0,1.0,0.0,1.0,1.0,1,0,0,0.0,0.0
William Wright,0.0,1.0,0.0,0.0,1.0,1.0,1,0,0,0.0,0.0
Williams Christopher T,1.0,0.0,0.0,0.0,1.0,0.0,1,0,1,0.0,100.0
Williams Glenn,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Williams John,0.0,0.0,1.0,0.0,1.0,1.0,1,0,0,0.0,0.0
Williams Myron G,1.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0
Williams Yakovlev,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Willie Bennett,0.0,1.0,0.0,0.0,1.0,1.0,1,0,0,0.0,0.0
Wilson Michael A,0.0,1.0,0.0,0.0,1.0,1.0,1,0,0,0.0,0.0
Wings An Things Inc,0.0,0.0,2.0,0.0,2.0,2.0,1,0,0,0.0,0.0
Wilson William M,1.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0
Wim J Huisman,0.0,0.0,0.0,2.0,2.0,2.0,1,0,0,0.0,0.0
Winder Robert S,0.0,0.0,1.0,0.0,1.0,1.0,1,0,0,0.0,0.0
Wing,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Wing Harold,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Wing John R,1.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0
Wingren Norman,0.0,0.0,0.0,2.0,2.0,2.0,1,0,0,0.0,0.0
Worley Dennis,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Worthington Donald Wayne,1.0,0.0,0.0,0.0,1.0,0.0,1,0,1,0.0,100.0
Wragg George,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Zenith Aircraft Co,1.0,0.0,0.0,0.0,1.0,0.0,1,0,1,0.0,100.0
Yowell,0.0,2.0,0.0,0.0,2.0,2.0,1,0,0,0.0,0.0
Yuneec,0.0,0.0,0.0,2.0,2.0,2.0,1,0,0,0.0,0.0
Z-Hi-Max,0.0,0.0,1.0,0.0,1.0,1.0,1,0,0,0.0,0.0
Zach Vans,0.0,1.0,0.0,0.0,1.0,1.0,1,0,0,0.0,0.0
Zeiler,0.0,1.0,0.0,0.0,1.0,1.0,1,0,0,0.0,0.0
Zenair Zodiac,0.0,0.0,1.0,0.0,1.0,1.0,1,0,0,0.0,0.0
Zenith Acft Co,0.0,0.0,1.0,0.0,1.0,1.0,1,0,0,0.0,0.0
Zidek,2.0,0.0,0.0,0.0,2.0,0.0,1,0,1,0.0,100.0
Youngs William D,0.0,0.0,2.0,0.0,2.0,2.0,1,0,0,0.0,0.0
Ziermann,0.0,0.0,1.0,0.0,1.0,1.0,1,0,0,0.0,0.0
Zimmerman,1.0,0.0,1.0,0.0,2.0,1.0,1,0,0,0.0,0.0
Zivko Aeronautics Inc,1.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0
Zlin Aviation,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Zubair S Khan,1.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0
Zuber Thomas P,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Zwicker Murray R,0.0,0.0,0.0,2.0,2.0,2.0,1,0,0,0.0,0.0
Younkin J R,0.0,0.0,1.0,0.0,1.0,1.0,1,0,0,0.0,0.0
Young Robert Herman,0.0,0.0,1.0,0.0,1.0,1.0,1,0,0,0.0,0.0
"Wrb Associates, Llc.",1.0,0.0,0.0,0.0,1.0,0.0,1,0,1,0.0,100.0
Wyder Robert G,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Wren Ronnie D,2.0,0.0,0.0,0.0,2.0,0.0,1,0,0,0.0,0.0
Wright,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Wright B Flyer Inc,2.0,0.0,0.0,0.0,2.0,0.0,1,0,0,0.0,0.0
Wright Bruce M,0.0,1.0,0.0,0.0,1.0,1.0,1,0,0,0.0,0.0
Wright Daniel J,0.0,0.0,1.0,0.0,1.0,1.0,1,0,0,0.0,0.0
Wsk-Pzl Meilec,0.0,1.0,0.0,0.0,1.0,1.0,1,0,0,0.0,0.0
Wsl Pzl,0.0,1.0,0.0,0.0,1.0,1.0,1,0,0,0.0,0.0
X-Air Llc,1.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0
Young John E,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Yakovlev/Day,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Yamokoski William,0.0,1.0,0.0,0.0,1.0,1.0,1,0,0,0.0,0.0
Yates,1.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0
Yates Mike E,0.0,1.0,0.0,0.0,1.0,1.0,1,0,0,0.0,0.0
Yeager Inc.,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Yost Edwin S,0.0,2.0,0.0,0.0,2.0,2.0,1,0,0,0.0,0.0
Young Dee C,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
William P. Crowell,0.0,1.0,0.0,0.0,1.0,1.0,1,0,0,0.0,0.0
William M Oprendek,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
William L Bell,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Wampach,0.0,0.0,0.0,2.0,2.0,2.0,1,0,0,0.0,0.0
Walsh Philip J,1.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0
Walter C Smythe,0.0,1.0,0.0,0.0,1.0,1.0,1,0,0,0.0,0.0
Walter Tachiki,0.0,0.0,1.0,0.0,1.0,1.0,1,0,0,0.0,0.0
Waltermire,0.0,1.0,0.0,1.0,2.0,2.0,1,0,0,0.0,0.0
Walters,0.0,1.0,1.0,0.0,2.0,2.0,1,0,0,0.0,0.0
Waltman Theodore J,0.0,0.0,0.0,4.0,4.0,4.0,1,0,0,0.0,0.0
Walton Daniel J,0.0,0.0,1.0,0.0,1.0,1.0,1,0,0,0.0,0.0
Ward Christopher Barry,0.0,0.0,0.0,2.0,2.0,2.0,1,0,0,0.0,0.0
Walling,1.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0
Ware Jerry L,0.0,0.0,0.0,2.0,2.0,2.0,1,0,0,0.0,0.0
Warner Aerocraft,0.0,0.0,1.0,0.0,1.0,1.0,1,0,0,0.0,0.0
